id,slug,icon,sort_order,name,created_at
770cb466-efb9-43f1-88ec-6574a9461783,rekonstruktsiya-i-pereplanirovka-1772804929687,🏗️,3,"{""en"":""Reconstruction & Remodeling"",""kz"":""Реконструкция және қайта жоспарлау"",""ru"":""Реконструкция и перепланировка"",""tk"":""Täzeden gurluşyk we täzeden meýilleşdirmek"",""uz"":""Rekonstruktsiya va qayta rejalashtirish""}",2026-03-06 13:48:49.368458+00
78e5954b-6804-443a-9793-c561a600c813,otkosy-1772804932178,📐,8,"{""en"":""Slopes"",""kz"":""Еңістер"",""ru"":""Откосы"",""tk"":""Eňňitmeler"",""uz"":""Nishablar""}",2026-03-06 13:48:51.874098+00
7c137a47-257c-4f9b-8a9c-ce3a7b34b0ac,natyazhnye-potolki-1772804940586,⬜,27,"{""en"":""Stretch Ceilings"",""kz"":""Созылмалы төбелер"",""ru"":""Натяжные потолки"",""tk"":""Çekilýän potoloklar"",""uz"":""Choʻziluvchan shiftlar""}",2026-03-06 13:49:00.268722+00
7d4fa779-939b-4947-823f-84561cf07d12,podokonniki-1772804940986,🪟,28,"{""en"":""Window Sills"",""kz"":""Терезе табалдырықтары"",""ru"":""Подоконники"",""tk"":""Penjire eşikleri"",""uz"":""Deraza tokchalari""}",2026-03-06 13:49:00.669375+00
8382d62e-8a1e-450e-9f3b-21d2e7e15f1a,zatirka-i-silikonovaya-germetizatsiy-1772804938322,⚙️,21,"{""en"":""Grouting & Silicone Sealing"",""kz"":""Затирка және силикон тығыздау"",""ru"":""Затирка и силиконовая герметизация"",""tk"":""Zatirowka we silikon ýapmak"",""uz"":""Zatirovka va silikon muhrlash""}",2026-03-06 13:48:58.010673+00
88e25a74-fab1-4e5a-b6db-ff1ff93877be,zvukoizolyatsiya-1772804933288,🔇,10,"{""en"":""Soundproofing"",""kz"":""Дыбыс оқшаулау"",""ru"":""Звукоизоляция"",""tk"":""Ses izolýasiýasy"",""uz"":""Ovoz izolyatsiyasi""}",2026-03-06 13:48:52.974174+00
8caa63d5-e4dc-41a6-8a18-57fabc23f0d5,rozetki-i-otverstiya-1772804934614,🔌,13,"{""en"":""Sockets & Openings"",""kz"":""Розеткалар және тесіктер"",""ru"":""Розетки и отверстия"",""tk"":""Rozetkalar we deşikler"",""uz"":""Rozetkalar va teshiklar""}",2026-03-06 13:48:54.305128+00
8ea4f89a-0ab5-4279-86b2-a4f550d8b6b0,shpaklevka-1772804939061,🖌️,23,"{""en"":""Puttying"",""kz"":""Шпаклевка"",""ru"":""Шпаклевка"",""tk"":""Şpaklýowka"",""uz"":""Shpaklyovka""}",2026-03-06 13:48:58.748465+00
8f80396a-9314-4dba-a552-85ca37f2bdd7,ventilyatsiya-i-konditsionirovanie-1772804935030,🌬️,14,"{""en"":""Ventilation & Air Conditioning"",""kz"":""Вентиляция және кондиционерлеу"",""ru"":""Вентиляция и кондиционирование"",""tk"":""Wentilýasiýa we kondisiýonerleme"",""uz"":""Ventilyatsiya va konditsionerlash""}",2026-03-06 13:48:54.725751+00
9f0c5ac1-2d4e-412e-af54-9641517342a4,demontazhnye-raboty-1772804929197,🔨,2,"{""en"":""Dismantling Works"",""kz"":""Бөлшектеу жұмыстары"",""ru"":""Демонтажные работы"",""tk"":""Sökmek işleri"",""uz"":""Demontaj ishlari""}",2026-03-06 13:48:48.890937+00
a77b1a60-50bd-4de4-92ea-e51235cbdf4e,skrytyy-plintus-1772804936185,👁️,16,"{""en"":""Hidden Baseboard"",""kz"":""Жасырын плинтус"",""ru"":""Скрытый плинтус"",""tk"":""Gizlin plintus"",""uz"":""Yashirin plintus""}",2026-03-06 13:48:55.866551+00
c8dfacf1-a217-49bc-94c1-92dca83954ee,gipsokartonnye-raboty-1772804938700,📦,22,"{""en"":""Drywall Works"",""kz"":""Гипсокартон жұмыстары"",""ru"":""Гипсокартонные работы"",""tk"":""Gipsokarton işleri"",""uz"":""Gipsokarton ishlari""}",2026-03-06 13:48:58.391215+00
d05e553e-622f-45a6-aaa3-ef494265c7ae,slabotochnye-sistemy-1772804934217,🖥️,12,"{""en"":""Low-Voltage Systems"",""kz"":""Төмен кернеу жүйелері"",""ru"":""Слаботочные системы"",""tk"":""Pes woltly ulgamlar"",""uz"":""Past kuchlanish tizimlari""}",2026-03-06 13:48:53.902766+00
d7ef294b-b3ae-4d4b-9174-83a8dc8330a9,okna-1772804931353,🪟,6,"{""en"":""Windows"",""kz"":""Терезелер"",""ru"":""Окна"",""tk"":""Penjireler"",""uz"":""Derazalar""}",2026-03-06 13:48:51.043718+00
dee139f7-dd94-4cbc-8cea-170fc684372c,plitochnye-raboty-1772804937876,🔲,20,"{""en"":""Tiling"",""kz"":""Плитка жұмыстары"",""ru"":""Плиточные работы"",""tk"":""Plitka işleri"",""uz"":""Plitka ishlari""}",2026-03-06 13:48:57.558206+00
e4b79b40-c9e7-432a-8aa8-7b36b2fb960c,zapusk-i-nachalo-proekta-1772804928321,🏠,1,"{""en"":""Project Start & Launch"",""kz"":""Жоба іске қосу және бастау"",""ru"":""Запуск и начало проекта"",""tk"":""Proýektiň işe goýulmagy we başlamagy"",""uz"":""Loyiha ishga tushirish va boshlanishi""}",2026-03-06 13:48:48.055058+00
f0b2c3a7-f761-48d7-aaeb-a3e24cedde57,gidroizolyatsiya-1772804937420,🛡️,19,"{""en"":""Waterproofing"",""kz"":""Гидрооқшаулау"",""ru"":""Гидроизоляция"",""tk"":""Gidroizolýasiýa"",""uz"":""Gidroizolyatsiya""}",2026-03-06 13:48:57.099353+00
f2bd35e6-aadf-4ed4-b168-433fda9e85be,shtukaturka-1772804930441,🎨,5,"{""en"":""Plastering"",""kz"":""Сылақ"",""ru"":""Штукатурка"",""tk"":""Gipslemek"",""uz"":""Shpaklyovka""}",2026-03-06 13:48:50.377247+00
f7482f75-6385-485e-8eaf-327144a77d84,samovyravnivayuschiysya-pol-1772804939445,📐,24,"{""en"":""Self-Leveling Floor"",""kz"":""Өздігінен тегістейтін еден"",""ru"":""Самовыравнивающийся пол"",""tk"":""Özi tekizleýän pol"",""uz"":""Oʻz-oʻzini tekislovchi pol""}",2026-03-06 13:48:59.125024+00
